"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.72863436123348,0.667468554670593,0.701754134962981,0.754323946724228,0.259911894273128,2.85861442841504e-238,NA,"RF"
1,0.46431718061674,0.318389016470356,0.434987048544473,0.493832698781533,0.259911894273128,1.41331646257113e-49,NA,"MN"
2,0.732394366197183,0.672197374116289,0.705629902207123,0.757949568831319,0.259683098591549,1.51405406292312e-242,NA,"RF"
2,0.46919014084507,0.324286440017558,0.439841554285044,0.498698652468504,0.259683098591549,6.07492529316835e-52,NA,"MN"
3,0.729515418502203,0.668656940664541,0.702659241907295,0.755176339663609,0.259911894273128,3.73188966907563e-239,NA,"RF"
3,0.475770925110132,0.332065032480634,0.446371130048322,0.505296596257586,0.259911894273128,8.05564816491489e-55,NA,"MN"
4,0.725352112676056,0.663425946149215,0.698395722461239,0.751136092769001,0.259683098591549,1.79733985399663e-235,NA,"RF"
4,0.460387323943662,0.312703624855532,0.431097646569913,0.489882624221799,0.259683098591549,5.38764698265712e-48,NA,"MN"
5,0.720950704225352,0.657264028293572,0.693878473431267,0.746873544800007,0.259683098591549,4.10962054268743e-231,NA,"RF"
5,0.463028169014085,0.317283478685798,0.433719867190818,0.492528384034159,0.259683098591549,3.65679526335185e-49,NA,"MN"
