"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.701541850220264,0.630631130992142,0.670608684100244,0.731161038246106,0.265418502202643,4.41565262317419e-165,NA,"RF"
1,0.474669603524229,0.328594969066284,0.441766220755148,0.507737807184237,0.265418502202643,1.94087027466731e-41,NA,"MN"
2,0.659316427783903,0.581538999054867,0.627442316699757,0.690151539349712,0.265711135611907,3.72492731673721e-135,NA,"RF"
2,0.432194046306505,0.278947530911841,0.399668806977716,0.465161055626453,0.265711135611907,2.48725315812937e-27,NA,"MN"
3,0.697905181918412,0.6260457921537,0.666863432280335,0.727655330657596,0.264608599779493,6.09966220303592e-163,NA,"RF"
3,0.480705622932745,0.335661334191755,0.447746740534307,0.513790189026088,0.264608599779493,5.78246042727045e-44,NA,"MN"
4,0.704845814977974,0.633956883013737,0.673997134106345,0.734358876369919,0.26431718061674,1.63396029570611e-168,NA,"RF"
4,0.45704845814978,0.305534698132761,0.424280651379914,0.490095758402843,0.26431718061674,1.00748699306237e-35,NA,"MN"
5,0.683168316831683,0.607700572582857,0.651816353949579,0.71332787704513,0.265126512651265,3.0646598436611e-152,NA,"RF"
5,0.451045104510451,0.299556655038706,0.418350937407571,0.484057483980829,0.265126512651265,1.86488760606719e-33,NA,"MN"
