"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.784140969162996,0.726600137646249,0.724867081938124,0.835832417734312,0.26431718061674,7.62647085262516e-60,NA,"RF"
1,0.616740088105727,0.513139729809683,0.550099226902737,0.68028919040554,0.26431718061674,9.22991644105096e-29,NA,"MN"
2,0.710526315789474,0.633351201208518,0.646985470586576,0.768499620039817,0.267543859649123,5.31323632701774e-44,NA,"RF"
2,0.565789473684211,0.449772079077591,0.498758076138229,0.63108764100379,0.267543859649123,2.45048823255229e-21,NA,"MN"
3,0.779735682819383,0.72086274316913,0.720135412174248,0.831873716491109,0.26431718061674,7.5783243829079e-59,NA,"RF"
3,0.594713656387665,0.485793076279115,0.527751795139528,0.6591681342399,0.26431718061674,1.34366436547348e-25,NA,"MN"
4,0.763157894736842,0.701310043668122,0.702550406547415,0.816785248822551,0.267543859649123,1.29928024652791e-54,NA,"RF"
4,0.618421052631579,0.515201877016326,0.551963192105195,0.681756482527066,0.267543859649123,1.49325288384946e-28,NA,"MN"
5,0.781659388646288,0.722484791197072,0.722485109516908,0.833385764466324,0.266375545851528,3.02339488504767e-59,NA,"RF"
5,0.615720524017467,0.509826814555361,0.549366854704081,0.679036657512934,0.266375545851528,1.76958313953262e-28,NA,"MN"
