"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.760233918128655,0.697345132743363,0.689105792020548,0.822113324628368,0.257309941520468,7.42618304850868e-43,NA,"RF"
1,0.666666666666667,0.5728185125126,0.590654675261286,0.73678527727633,0.391812865497076,3.5185184690633e-13,NA,"MN"
2,0.795321637426901,0.739873087621697,0.727015117421223,0.853099889595811,0.257309941520468,7.18854969655952e-49,NA,"RF"
2,0.660818713450292,0.568163016501938,0.584611459902927,0.731340564648318,0.333333333333333,2.35664992191159e-18,NA,"MN"
3,0.838323353293413,0.794840294840295,0.773555277988429,0.890668733480029,0.25748502994012,1.13529358970928e-55,NA,"RF"
3,0.70059880239521,0.617813987550348,0.625005407973516,0.768915786057063,0.329341317365269,1.21746329221434e-22,NA,"MN"
4,0.805882352941176,0.754227635152896,0.738331734610296,0.862450435040296,0.258823529411765,3.53731181560976e-50,NA,"RF"
4,0.694117647058824,0.614361122017188,0.618948707173197,0.76237369039721,0.241176470588235,1.70193842826178e-35,NA,"MN"
5,0.869822485207101,0.83397338572832,0.809565973532356,0.916587505866292,0.260355029585799,3.73417812978324e-62,NA,"RF"
5,0.686390532544379,0.598358817990225,0.610650853025925,0.755454863958109,0.349112426035503,4.87874102546781e-19,NA,"MN"
