"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.71830985915493,0.654482826792789,0.691169619011802,0.744314516752079,0.259683098591549,1.60883767074255e-228,NA,"RF"
1,0.452464788732394,0.303125221905746,0.423235892040081,0.481940439572791,0.259683098591549,1.42423998655725e-44,NA,"MN"
2,0.734801762114537,0.674916620278519,0.708092591154512,0.76028798147905,0.259911894273128,1.68181845671008e-244,NA,"RF"
2,0.470484581497797,0.32603613786453,0.441115035548265,0.500007469098766,0.259911894273128,2.28336724071726e-52,NA,"MN"
3,0.727992957746479,0.66646808146744,0.70110758303206,0.753692105989347,0.259683098591549,4.13209570691339e-238,NA,"RF"
3,0.470070422535211,0.323685811061389,0.44071644307304,0.499579757450316,0.259683098591549,2.4007551755705e-52,NA,"MN"
4,0.731514084507042,0.670449660063232,0.704725181393241,0.757098334021282,0.259683098591549,1.1782167980181e-241,NA,"RF"
4,0.477112676056338,0.33523729773662,0.447718806294772,0.506625345330818,0.259683098591549,1.25845390193058e-55,NA,"MN"
5,0.723348017621145,0.660475538119454,0.696326165299695,0.749206909158168,0.259911894273128,5.26122315344417e-233,NA,"RF"
5,0.455506607929515,0.306497427901656,0.426240505448486,0.485003877224917,0.259911894273128,1.01903504850361e-45,NA,"MN"
