"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.69018743109151,0.616987287861779,0.658960065681724,0.72017376819441,0.265711135611907,2.14095732533987e-156,NA,"RF"
1,0.461962513781698,0.313387224127687,0.429134550521306,0.495038264997566,0.265711135611907,8.39857461244175e-37,NA,"MN"
2,0.700440528634361,0.628962375833038,0.66947961141005,0.730094680275241,0.265418502202643,2.8647600790718e-164,NA,"RF"
2,0.482378854625551,0.339263181526123,0.449428890997053,0.515443474626398,0.265418502202643,2.79043406076664e-44,NA,"MN"
3,0.667766776677668,0.590048922100962,0.63609088398478,0.698350837234829,0.265126512651265,1.39097931472086e-141,NA,"RF"
3,0.429042904290429,0.269085433021459,0.3965925962381,0.46195449502897,0.265126512651265,1.16678160730817e-26,NA,"MN"
4,0.66079295154185,0.582914752729225,0.628964483245225,0.691573932133921,0.26431718061674,2.1293964779305e-137,NA,"RF"
4,0.454845814977974,0.306286116461698,0.422097812979664,0.487887645941391,0.26431718061674,5.51989708661046e-35,NA,"MN"
5,0.695700110253583,0.622272083243428,0.664604320060059,0.725518751852245,0.264608599779493,2.48800845897448e-161,NA,"RF"
5,0.475192943770673,0.329209762949083,0.442267810885279,0.508279671674884,0.264608599779493,6.25699738965821e-42,NA,"MN"
