"fold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","model"
1,0.696035242290749,0.624072962918517,0.631709601095475,0.75515663637477,0.26431718061674,7.58252616308278e-42,NA,"RF"
1,0.616740088105727,0.513139729809683,0.550099226902737,0.68028919040554,0.26431718061674,9.22991644105096e-29,NA,"MN"
2,0.671052631578947,0.595878432670038,0.605943991372408,0.731644670262042,0.267543859649123,6.39635448562903e-37,NA,"RF"
2,0.565789473684211,0.449772079077591,0.498758076138229,0.63108764100379,0.267543859649123,2.45048823255229e-21,NA,"MN"
3,0.731277533039648,0.668200225241416,0.668622683387321,0.787782344269774,0.26431718061674,1.41964902735633e-48,NA,"RF"
3,0.594713656387665,0.485793076279115,0.527751795139528,0.6591681342399,0.26431718061674,1.34366436547348e-25,NA,"MN"
4,0.644736842105263,0.562058335309462,0.578852582420762,0.706802392873651,0.267543859649123,1.37525211981673e-32,NA,"RF"
4,0.618421052631579,0.515201877016326,0.551963192105195,0.681756482527066,0.267543859649123,1.49325288384946e-28,NA,"MN"
5,0.724890829694323,0.658758692464166,0.662197014937722,0.781659501265276,0.266375545851528,3.14087715079879e-47,NA,"RF"
5,0.615720524017467,0.509826814555361,0.549366854704081,0.679036657512934,0.266375545851528,1.76958313953262e-28,NA,"MN"
